        	  precision  	recall  	f1-score	f0.5-score	f2-score
.             0.999722  	0.999932	0.999827 	0.999894	0.999943
ADJ           0.936941  	0.912558	0.924579 	0.953119	0.943338
ADP           0.977484  	0.982902	0.980184 	0.983874	0.986257
ADV           0.947225  	0.929464	0.938243 	0.955030	0.949405
CONJ          0.994014  	0.997028	0.995518 	0.995523	0.997307
DET           0.994103  	0.994848	0.994475 	0.995561	0.995578
NOUN          0.967736  	0.976948	0.972319 	0.980245	0.983175
NUM           0.972956  	0.967415	0.970169 	0.981302	0.983121
PRON          0.991678  	0.987939	0.989804 	0.992863	0.990628
PRT           0.942121  	0.940127	0.941107 	0.956075	0.956055
VERB          0.973569  	0.976358	0.974961 	0.982162	0.983638
X             0.772235  	0.420400	0.541643 	0.794016	0.636825
micro avg	  0.975077  	0.975077	0.975077	0.982428	0.982428
macro avg	  0.955815  	0.923827	0.935236	0.964138	0.950439
weighted avg  0.974892	    0.975077	0.974891	0.982335	0.982389
samples avg	  0.975077	    0.975077	0.975077	-			-
