571
    Tags  Accuracy    Recall   F-score  F-beta=1-score  F-beta=0.5-score  F-beta=2-score
0   VERB  0.975375  0.950924  0.962993        0.962993          0.956258        0.969416
1   NOUN  0.962184  0.950405  0.956258        0.915508          0.901526        0.959046
2   PRON  0.954165  0.985165  0.969416        0.993889          0.974491        0.942414
3    ADJ  0.920464  0.910607  0.915508        0.907241          0.989199        0.616592
4    ADV  0.908192  0.894961  0.901526        0.970384          0.959805        0.960207
5    ADP  0.950054  0.968212  0.959046        0.918475          0.905513        0.953631
6   CONJ  0.992863  0.994918  0.993889        0.993273          0.967274        0.959154
7    DET  0.962522  0.986762  0.974491        0.907416          0.982921        0.721031
8    NUM  0.970653  0.915786  0.942414        0.955715          0.952738        0.978804
9    PRT  0.907533  0.906954  0.907241        0.912561          0.897575        0.964524
10     .  0.978779  0.999844  0.989199        0.994506          0.981817        0.926253
11     X  0.814506  0.498058  0.616592        0.907069          0.995559        0.539378

